username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
luuuq94,"Helsingborg, Sweden",Joined in Aug 2015,13,7,0,0,[],0,[]
115marieangec,"Brussels, Belgium",Joined in Jun 2013,152,142,61,0,[],0,[]
FreeLu,"Lausanne, Switzerland",Joined in Jul 2009,88,58,27,1,[],6,"['Tripadvisor', 'OutsideMagazine', 'Expedia', 'M592GAalainm', 'christianbI5772BR', 'Sherpa565483']"
cecilieAN,"Frederiksberg, Denmark",Joined in May 2014,44,33,19,0,[],0,[]
Bjoerkedal,"Winkel, Switzerland",Joined in Feb 2014,12,12,7,0,[],0,[]
hhaannnnaahh,"Winterthur, Switzerland",Joined in Aug 2015,30,30,2,0,[],0,[]
vydbnau,"Ho Chi Minh City, Vietnam",Joined in Apr 2012,3,2,1,0,[],0,[]
nikok769,"Helsinki, Finland",Joined in Dec 2014,72,60,9,1,[],1,['Tripadvisor']
nielsmadsen82,"Copenhagen, Denmark",Joined in Jul 2011,11,11,6,0,[],0,[]
AnitaSunshine,Norway,Joined in Mar 2010,2,2,3,0,[],0,[]
Deedeehou,"Singapore, Singapore",Joined in Nov 2013,63,26,17,0,[],0,[]
Kaisa84,,Joined in Apr 2011,2,2,1,0,[],0,[]
harcell,,Joined in Jan 2015,55,28,18,0,[],0,[]
KatieCordell,,Joined in Mar 2015,6,4,5,0,[],0,[]
cphfoodfairy,"Copenhagen, Denmark",Joined in Jul 2015,14,10,2,0,[],0,[]
vonsolms,Copenhagen,Joined in Sep 2009,25,17,13,1,['661colleenf'],0,[]
christiann108,,Joined in Jan 2015,6,3,1,0,[],0,[]
masterdermacell,"London, United Kingdom",Joined in Mar 2018,2,2,0,0,[],0,[]
375ChrisF,"Hamburg, Germany",Joined in Jul 2012,39,35,12,0,[],0,[]
Gravengaards,"Frederiksberg, Denmark",Joined in Jun 2010,4,4,0,0,[],0,[]
Spudufer,"Nottingham, UK",Joined in Oct 2010,27,27,8,0,[],0,[]
ChrisKim22,"London, United Kingdom",Joined in Jul 2010,232,159,68,0,[],0,[]
GrithDK,København,Joined in May 2011,17,16,6,0,[],0,[]
kobreiner,"New York City, New York",Joined in Nov 2014,2,2,1,0,[],0,[]
uskuplumustafa,,Joined in Jun 2020,3,3,0,0,[],0,[]
