username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
Paul_Norway_3420,"Oslo, Norway",Joined in Aug 2011,112,107,37,0,[],0,[]
nikkiday13,"Charlotte, North Carolina",Joined in Jul 2019,1,1,0,0,[],0,[]
662matsr,,Joined in Jul 2020,1,1,0,0,[],0,[]
Siobhant77,"Solihull, United Kingdom",Joined in Aug 2015,17,15,9,0,[],0,[]
LeFrequentTraveller,"Leeds, United Kingdom",Joined in Apr 2016,208,158,133,3,"['SandyBoH', 'DPG1234', 'debslovesagoodtrip']",2,"['SandyBoH', 'DPG1234']"
Jovi1004,,Joined in Jul 2008,10,10,1,0,[],0,[]
964par,"Chicago, Illinois",Joined in Apr 2016,7,6,0,0,[],0,[]
jo-kennedy,"Guildford, United Kingdom",Joined in May 2008,70,58,43,0,[],0,[]
Brook31,"Utrecht, The Netherlands",Joined in May 2011,18,16,8,0,[],0,[]
901henrikp,,Joined in Sep 2018,17,17,6,0,[],0,[]
ScottishFoodie93,"Dunfermline, United Kingdom",Joined in Jul 2010,476,421,232,0,[],0,[]
Moerthal,"Bath, United Kingdom",Joined in Feb 2009,71,67,25,0,[],0,[]
kennethgqr,"Singapore, Singapore",Joined in Nov 2012,10,6,5,0,[],0,[]
TimSY2,"Shrewsbury, United Kingdom",Joined in Oct 2009,264,264,135,0,[],0,[]
memoryseeker103,Massachusetts,Joined in Sep 2010,59,38,17,0,[],0,[]
aaeo2,,Joined in Apr 2016,41,20,42,0,[],0,[]
DelightAndDevour,"Philadelphia, Pennsylvania",Joined in Jul 2019,18,17,4,0,[],0,[]
3CatswillTravel,"Central Florida, Florida",Joined in Jun 2013,104,95,66,1,['477cherif'],0,[]
TrevorE979,"Sydney, Australia",Joined in Dec 2012,14,13,7,0,[],0,[]
amygQ8770CT,"Edinburgh, United Kingdom",Joined in Sep 2017,10,10,19,0,[],0,[]
BencardsBites,"Basingstoke, United Kingdom",Joined in Jul 2010,99,75,61,0,[],3,"['TravelandLeisure', 'CNTraveler', 'wineenthusiast']"
nermalcat,"Central Florida, Florida",Joined in Aug 2008,94,94,61,0,[],0,[]
rstav,"Carnegie, Australia",Joined in Apr 2019,3,3,4,0,[],0,[]
Mariuswiik,,Joined in Aug 2019,1,1,0,0,[],0,[]
Pawleyspair741,"Pawleys Island, South Carolina",Joined in Apr 2015,20,19,7,0,[],0,[]
slhokie,"Sugar Land, Texas",Joined in Oct 2009,466,456,136,0,[],0,[]
MarcoLimbo,"Bologna, Italy",Joined in Jan 2010,85,78,72,0,[],0,[]
Starbarr,Kirkby Lonsdale,Joined in Dec 2009,266,266,141,0,[],0,[]
