username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
jamilaa2018,"Riffa, Bahrain",Joined in Jan 2018,886,160,237,6,"['Foodie_CST', 'srilankadrivertours', 'iccia76', 'BuAli_19', 'EssaAli99', 'ralkhy']",8,"['Omer-Lavv', '359_Severn', 'rdmatt', 'tumbuna', 'BuAli_19', 'wishfrog', 'EssaAli99', 'ralkhy']"
nuerdetgodt,,Joined in Jun 2019,1,1,0,0,[],0,[]
JuliaR480,"Moscow, Russia",Joined in Nov 2011,6,6,15,0,[],0,[]
MonicaL1016,"Copenhagen, Denmark",Joined in Jul 2007,18,6,3,0,[],0,[]
Natassa2015,,Joined in Feb 2015,50,16,28,0,[],0,[]
Alexander_5176,"Fort Lauderdale, Florida",Joined in Oct 2018,3,3,0,0,[],0,[]
mangustavesela,"Copenhagen, Denmark",Joined in Jun 2013,6,6,0,0,[],0,[]
Crobbestad,"Oslo, Norway",Joined in Mar 2008,6,5,3,0,[],0,[]
tronds428,"Stavanger, Norway",Joined in May 2015,27,26,29,1,[],2,"['linnpinn2018', 'helenevs2007']"
theodoras603,,Joined in Nov 2012,42,20,8,0,[],0,[]
callexvi,,Joined in Feb 2018,1,1,0,0,[],0,[]
towisen,"Stockholm, Sweden",Joined in Aug 2007,115,56,12,0,[],0,[]
NJA2011,"Chicago, Illinois",Joined in Jun 2008,31,25,50,0,[],0,[]
CarolineH183,"London, United Kingdom",Joined in May 2013,70,62,45,0,[],0,[]
301myh,"Malmö, Sweden",Joined in Jul 2016,28,13,7,0,[],0,[]
JannineL_13,Londo,Joined in Feb 2013,111,65,39,1,[],0,[]
mikkelh,"Auckland Central, New Zealand",Joined in Jan 2012,68,35,15,0,[],0,[]
P_Anders_L,"Stockholm, Sweden",Joined in Jan 2013,461,456,99,0,[],0,[]
bazza1977,"Redhill, United Kingdom",Joined in May 2009,243,132,95,0,[],4,"['Tripadvisor', 'TravelChannel', 'TimeOut', 'jonny_mitchell1991']"
HairyLion,"Stockholm, Sweden",Joined in Feb 2012,122,99,93,0,[],0,[]
DocCalus,"Farum, Denmark",Joined in Jun 2011,112,87,63,0,[],0,[]
NinaA926,"Larvik, Norway",Joined in Aug 2012,89,60,8,2,[],0,[]
Edelbo,,Joined in May 2014,27,26,8,0,[],0,[]
clarao940,"Rotterdam, The Netherlands",Joined in Jun 2015,5,4,2,0,[],0,[]
Jojobm,,Joined in Dec 2013,34,34,41,1,[],1,['M4736RZdanb']
goldenOntario,"Ottawa, Canada",Joined in Oct 2004,49,32,56,0,[],0,[]
SamTheCalifornian,"Irvine, CA",Joined in Jan 2011,89,88,49,0,[],0,[]
Companion402907,"Buenos Aires, Argentina",Joined in Oct 2012,6,4,1,0,[],3,[]
ntpcsusu,"Copenhagen, Denmark",Joined in Sep 2007,195,76,38,0,[],0,[]
unwantedbagage,,Joined in Jun 2016,4,4,1,0,[],1,[]
Sofieha,"Copenhagen, Denmark",Joined in May 2010,3,3,0,0,[],0,[]
Gar1961,,Joined in Jun 2019,1,1,0,0,[],0,[]
FitchMc,"County Wexford, Ireland",Joined in Feb 2015,6,6,11,0,[],0,[]
michele_pts,,Joined in Aug 2017,2,2,0,0,[],0,[]
WorldKangaroo,"London, United Kingdom",Joined in Oct 2007,212,56,38,11,[],2,[]
EME1982,,Joined in Oct 2019,2,2,0,0,[],0,[]
JackOR101,"Denver, Colorado",Joined in Nov 2011,35,35,117,0,[],0,[]
BlueCitizen,Knutsford,Joined in Jan 2012,27,27,35,0,[],0,[]
panacea97,"Fonthill, Canada",Joined in Nov 2009,15,4,2,0,[],0,[]
lebleuetontarien,"Alma, Canada",Joined in Jul 2017,55,49,25,0,[],0,[]
NotABuckeye,Ohio,Joined in May 2008,124,124,66,0,[],0,[]
AndyP1998,"Wakefield, United Kingdom",Joined in Jan 2008,684,648,237,1,['asnitours'],0,[]
Becks1991,"Wirral, United Kingdom",Joined in Oct 2012,363,222,171,0,[],0,[]
