storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,Rank
Ristorante Da Claudio,"Godthaabsvej 42, Frederiksberg, Copenhagen 2000 Denmark",4.5,278,$$ - $$$,"['Italian', 'Mediterranean', 'European']",#5
Ristorante Italiano,"Fiolstraede 2, Copenhagen 1171 Denmark",4.0,"1,191",$$ - $$$,"['Italian', 'Pizza', 'European']",#98
Selma,"Romersgade 20, Copenhagen 1362 Denmark",4.5,121,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#99
Restaurant Karla,"Dantes Plads 1, Copenhagen 1556 Denmark",4.5,"1,036",$$ - $$$,"['European', 'Scandinavian', 'Danish']",#100
Spaghetteria La Perla,"Landemaerket 27, Copenhagen 1119 Denmark",4.5,603,$$ - $$$,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",#101
Restaurant U Formel,"Studiestraede 69, Copenhagen 1609 Denmark",4.5,529,$$$$,"['European', 'Scandinavian', 'Danish']",#102
Restaurant Kronborg,"Brolaeggerstraede 12, Copenhagen 1211 Denmark",4.5,522,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']",#103
Damindra Restaurant,"Holbergsgade 26 Copenhagen C, Copenhagen 1054 Denmark",4.5,509,$$$$,"['Japanese', 'Sushi', 'Asian']",#104
Christianshavns Faergecafé,"Strandgade 50, Copenhagen 1401 Denmark",4.5,496,$$ - $$$,"['Seafood', 'European', 'Diner']",#105
Fuego,"Holbergsgade 14, Copenhagen 1057 Denmark",4.5,729,$$$$,"['Steakhouse', 'Latin', 'Argentinean']",#106
Sticks'n'Sushi,"Borgergade 13, Copenhagen 1300 Denmark",4.5,292,$$ - $$$,"['Japanese', 'Seafood', 'Sushi']",#107
Restaurant Kanalen,"Wilders Plads 2, Copenhagen 1403 Denmark",4.5,429,$$$$,"['European', 'Scandinavian', 'Danish']",#108
Kompasset,"Nyhavn 65, Copenhagen 1051 Denmark",4.5,307,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#109
Sidecar,"Skyttegade 5, Copenhagen 2200 Denmark",4.5,157,$$ - $$$,"['Cafe', 'Asian', 'Street Food']",#110
Sidecar,"Skyttegade 5, Copenhagen 2200 Denmark",4.5,157,$$ - $$$,"['Cafe', 'Asian', 'Street Food']",#110
Plectrum Vesterbro Restaurant,"Vesterbrogade 23/29, Copenhagen 1620 Denmark",4.5,545,$$ - $$$,"['Bar', 'European', 'Central European']",#111
Hallernes,"Torvehallernes - Hal 1 Roemersgade 18, Copenhagen Denmark",4.5,265,$$ - $$$,"['Fast Food', 'European', 'Scandinavian']",#112
Krogs Fish Restaurant,"Gammel Strand 38, Copenhagen 1202 Denmark",4.5,329,$$$$,"['Seafood', 'European', 'Scandinavian']",#113
Krogs Fish Restaurant,"Gammel Strand 38, Copenhagen 1202 Denmark",4.5,329,$$$$,"['Seafood', 'European', 'Scandinavian']",#113
